id,companyId,number,product,product_en,name,logo,product_img
1,1,"1","肯尼亚紫茶","Kenya Purple Tea","Goldrock International Eneterprises Company (K) Ltd.","","images/SME/Goldrock International Eneterprises Company (K) Ltd/1.jpg"
2,1,"2","肯尼亚紫茶饼","Kenya  Purple Tea Cake","Goldrock International Eneterprises Company (K) Ltd.","","images/SME/Goldrock International Eneterprises Company (K) Ltd/2.jpg"
3,1,"3","肯尼亚绿茶饼","Kenya Green Tea Cake","Goldrock International Eneterprises Company (K) Ltd.","","images/SME/Goldrock International Eneterprises Company (K) Ltd/3.jpg"
4,1,"4","卢旺达咖啡","Rwandan Coffee","Goldrock International Eneterprises Company (K) Ltd.","","images/SME/Goldrock International Eneterprises Company (K) Ltd/4.jpg"
5,1,"5","卢旺达咖啡","Rwandan  G-step Coffee","Goldrock International Eneterprises Company (K) Ltd.","","images/SME/Goldrock International Eneterprises Company (K) Ltd/5.jpg"
6,1,"6","卢旺达白毫银针","Rwanda White Hair Silver Needle","Goldrock International Eneterprises Company (K) Ltd.","","images/SME/Goldrock International Eneterprises Company (K) Ltd/6.jpg"
7,1,"7","卢旺达白茶","Rwandan white tea","Goldrock International Eneterprises Company (K) Ltd.","","images/SME/Goldrock International Eneterprises Company (K) Ltd/7.jpg"
8,2,"1","适用于婴儿儿童及母亲的头发护理产品","Skin & Hair care for Baby, Kid, Mom.","BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/1.jpg"
9,2,"2","应对瘙痒的油","Oil for Itchy rash","BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/2.jpg"
10,2,"3","有助于改善睡眠以及缓解压力的精油","Sleep and stress essential oils","BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/3.jpg"
11,2,"4","洗发皂","Shampoo bar","BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/4.jpg"
12,2,"5","用于快速缓解症状的深色薄荷膏","Deep mint rub for quick relief
","BEBEBALM, INC.","images/SME/BEBEBALM, INC/","images/SME/BEBEBALM, INC/5.jpg"
13,3,"1","椰子精华","Coconut serum","Mekong Coconut Oil Company Limited","images/SME/Mekong Coconut Oil Company Limited/","images/SME/Mekong Coconut Oil Company Limited/1.jpg"
14,3,"2","椰子护发精华液","Coconut hair serum","Mekong Coconut Oil Company Limited","images/SME/Mekong Coconut Oil Company Limited/","images/SME/Mekong Coconut Oil Company Limited/2.jpg"
15,4,"1","手工串珠耳饰","Handbeaded earrings","Authentic Crafts Limited (Namayo jewellery brand name)","images/SME/Authentic Crafts Limited (Namayo jewellery brand name)/","images/SME/Authentic Crafts Limited (Namayo jewellery brand name)/1.jpg"
16,4,"2","戒指","Rings","Authentic Crafts Limited (Namayo jewellery brand name)","images/SME/Authentic Crafts Limited (Namayo jewellery brand name)/","images/SME/Authentic Crafts Limited (Namayo jewellery brand name)/2.jpg"
17,4,"3","项链","Necklaces","Authentic Crafts Limited (Namayo jewellery brand name)","images/SME/Authentic Crafts Limited (Namayo jewellery brand name)/","images/SME/Authentic Crafts Limited (Namayo jewellery brand name)/3.jpg"
18,5,"1","草本茶（生姜茶、姜黄茶、鹅莓茶）","Herbal tea (Ginger, Turmeric, Gooseberry)​","2DaY Consultant Sole Co.,Ltd
","images/SME/2DaY Consultant Sole Co.,Ltd
/","images/SME/2DaY Consultant Sole Co.,Ltd
/1.jpg"
19,5,"2","草本粉（姜黄粉、生姜粉、黑芝麻粉）
","Herbal powder (Turmeric powder, Ginger powder, Black sesame)​","2DaY Consultant Sole Co.,Ltd
","images/SME/2DaY Consultant Sole Co.,Ltd
/","images/SME/2DaY Consultant Sole Co.,Ltd
/2.jpg"
20,5,"3","天然个护（贝拉香檬草本洗发露）
","Natural personal care (Bella herbal shampoo with bergamot)​","2DaY Consultant Sole Co.,Ltd
","images/SME/2DaY Consultant Sole Co.,Ltd
/","images/SME/2DaY Consultant Sole Co.,Ltd
/3.jpg"
21,6,"1","高端红茶礼盒装","Premium black tea gift box set ","Eco Jambo Limited
","images/SME/Eco Jambo Limited
/","images/SME/Eco Jambo Limited
/1.jpg"
22,6,"2","红茶卡盒","Black tea card box ","Eco Jambo Limited
","images/SME/Eco Jambo Limited
/","images/SME/Eco Jambo Limited
/2.jpg"
23,6,"3","肯尼亚特色礼盒","Kenya style gift box ","Eco Jambo Limited
","images/SME/Eco Jambo Limited
/","images/SME/Eco Jambo Limited
/3.jpg"
24,6,"4","紫茶","Purple tea ","Eco Jambo Limited
","images/SME/Eco Jambo Limited
/","images/SME/Eco Jambo Limited
/4.jpg"
25,7,"1","石制手工艺品","Stone Handicrafts ","AIDI INTERNATIONAL - PAKISTAN","","images/SME/AIDI INTERNATIONAL - PAKISTAN/1.jpg"
26,7,"2","花瓶","Flower Vases","AIDI INTERNATIONAL - PAKISTAN","","images/SME/AIDI INTERNATIONAL - PAKISTAN/2.jpg"
27,7,"3","花盆","Pots","AIDI INTERNATIONAL - PAKISTAN","","images/SME/AIDI INTERNATIONAL - PAKISTAN/3.jpg"
28,7,"4","装饰品","Decoration Items","AIDI INTERNATIONAL - PAKISTAN","","images/SME/AIDI INTERNATIONAL - PAKISTAN/4.jpg"
29,7,"5","各类手工制品","Crafted articles ","AIDI INTERNATIONAL - PAKISTAN","","images/SME/AIDI INTERNATIONAL - PAKISTAN/5.jpg"
30,8,"1","老挝茶","Lao tea","Sanwan Lao Co Ltd.","","images/SME/Sanwan Lao Co Ltd/1.jpg"
31,8,"2","普洱茶","Puerh tea","Sanwan Lao Co Ltd.","","images/SME/Sanwan Lao Co Ltd/2.jpg"
32,9,"1","木雕产品","Carved wood product
","Toon Furniture Sole Co.,LTD","","images/SME/Toon Furniture Sole Co.,LTD/1.jpg"
33,9,"2","手链","Bracelet","Toon Furniture Sole Co.,LTD","","images/SME/Toon Furniture Sole Co.,LTD/2.jpg"
34,9,"3","项链","Necklace","Toon Furniture Sole Co.,LTD","","images/SME/Toon Furniture Sole Co.,LTD/3.jpg"
35,9,"4","薰香棒"," Incense sticks","Toon Furniture Sole Co.,LTD","","images/SME/Toon Furniture Sole Co.,LTD/4.jpg"
36,9,"5","老挝巴色红石"," Lao Pakse red stone","Toon Furniture Sole Co.,LTD","","images/SME/Toon Furniture Sole Co.,LTD/5.jpg"
